model,task,category,count,n_episodes,n_seeds,baseline,cgvd,delta,baseline_sd_seed,cgvd_sd_seed,delta_ci_paired_lo,delta_ci_paired_hi,delta_ci_newcombe_lo,delta_ci_newcombe_hi,wilcoxon_p,icc_baseline,icc_cgvd,excludes0_paired,dir
gr00t,carrot,control,0,200,10,32.0,28.0,-4.0,8.2,6.3,-12.1,4.1,-12.9,5.0,0.3906,-0.020,-0.032,0,logs/clutter_eval/gr00t/carrot/control/n0_e20_r10_20260302_113713
gr00t,carrot,control,4,200,10,36.5,30.0,-6.5,7.8,8.8,-16.5,3.5,-15.6,2.7,0.2031,-0.025,-0.014,0,logs/clutter_eval/gr00t/carrot/control/n4_e20_r10_20260302_113713
gr00t,carrot,control,8,200,10,43.0,28.5,-14.5,11.4,8.8,-21.1,-7.9,-23.5,-5.1,0.0059,0.002,-0.012,1,logs/clutter_eval/gr00t/carrot/control/n8_e20_r10_20260302_113713
gr00t,carrot,control,10,200,10,40.0,28.5,-11.5,8.8,11.6,-18.7,-4.3,-20.5,-2.2,0.0078,-0.019,0.016,1,logs/clutter_eval/gr00t/carrot/control/n10_e20_r10_20260302_113713
gr00t,carrot,control,14,200,10,39.0,37.5,-1.5,7.0,10.6,-9.2,6.2,-10.9,8.0,0.7383,-0.031,-0.002,0,logs/clutter_eval/gr00t/carrot/control/n14_e20_r10_20260302_113713
gr00t,carrot,control,18,200,10,38.0,41.0,+3.0,9.5,6.1,-3.6,9.6,-6.5,12.5,0.4688,-0.013,-0.036,0,logs/clutter_eval/gr00t/carrot/control/n18_e20_r10_20260302_113713
gr00t,carrot,semantic,0,200,10,32.0,28.0,-4.0,8.2,7.1,-12.2,4.2,-12.9,5.0,0.3906,-0.020,-0.026,0,logs/clutter_eval/gr00t/carrot/semantic/n0_e20_r10_20260302_064323
gr00t,carrot,semantic,4,200,10,41.5,32.0,-9.5,9.4,7.5,-12.1,-6.9,-18.7,-0.1,0.0020,-0.014,-0.025,1,logs/clutter_eval/gr00t/carrot/semantic/n4_e20_r10_20260302_064323
gr00t,carrot,semantic,8,200,10,42.5,31.0,-11.5,7.9,4.6,-17.1,-5.9,-20.7,-2.1,0.0039,-0.026,-0.042,1,logs/clutter_eval/gr00t/carrot/semantic/n8_e20_r10_20260302_064323
gr00t,carrot,semantic,10,200,10,42.5,29.0,-13.5,7.5,7.0,-20.7,-6.3,-22.6,-4.1,0.0078,-0.028,-0.028,1,logs/clutter_eval/gr00t/carrot/semantic/n10_e20_r10_20260302_223103
gr00t,carrot,semantic,14,200,10,32.0,27.5,-4.5,6.3,6.3,-9.7,0.7,-13.3,4.4,0.1250,-0.033,-0.031,0,logs/clutter_eval/gr00t/carrot/semantic/n14_e20_r10_20260303_075050
gr00t,carrot,semantic,18,200,10,32.0,28.5,-3.5,6.7,9.4,-10.0,3.0,-12.4,5.5,0.2227,-0.031,-0.007,0,logs/clutter_eval/gr00t/carrot/semantic/n18_e20_r10_20260303_075050
gr00t,spoon,control,0,200,10,49.0,51.0,+2.0,8.1,5.7,-6.1,10.1,-7.7,11.7,0.6641,-0.025,-0.039,0,logs/clutter_eval/gr00t/spoon/control/n0_e20_r10_20260302_064646
gr00t,spoon,control,4,200,10,48.0,48.0,+0.0,8.9,6.3,-7.0,7.0,-9.7,9.7,0.9844,-0.019,-0.036,0,logs/clutter_eval/gr00t/spoon/control/n4_e20_r10_20260302_064646
gr00t,spoon,control,8,200,10,44.0,43.5,-0.5,9.4,9.7,-12.5,11.5,-10.1,9.1,0.9922,-0.015,-0.012,0,logs/clutter_eval/gr00t/spoon/control/n8_e20_r10_20260302_064646
gr00t,spoon,control,10,200,10,41.0,47.0,+6.0,11.3,7.1,-3.0,15.0,-3.7,15.5,0.1406,0.002,-0.031,0,logs/clutter_eval/gr00t/spoon/control/n10_e20_r10_20260302_064953
gr00t,spoon,control,14,200,10,33.0,42.0,+9.0,11.4,7.1,-0.9,18.9,-0.5,18.3,0.0781,0.008,-0.031,0,logs/clutter_eval/gr00t/spoon/control/n14_e20_r10_20260302_064953
gr00t,spoon,control,18,200,10,28.0,45.0,+17.0,8.6,8.8,7.6,26.4,7.6,26.0,0.0078,-0.014,-0.020,1,logs/clutter_eval/gr00t/spoon/control/n18_e20_r10_20260302_064953
gr00t,spoon,semantic,0,200,10,49.0,51.0,+2.0,8.1,5.7,-6.1,10.1,-7.7,11.7,0.6641,-0.025,-0.039,0,logs/clutter_eval/gr00t/spoon/semantic/n0_e20_r10_20260302_064044
gr00t,spoon,semantic,4,200,10,47.5,46.0,-1.5,10.1,6.1,-8.7,5.7,-11.2,8.2,0.7031,-0.010,-0.037,0,logs/clutter_eval/gr00t/spoon/semantic/n4_e20_r10_20260302_064044
gr00t,spoon,semantic,8,200,10,28.5,41.0,+12.5,6.7,5.2,6.4,18.6,3.2,21.5,0.0039,-0.030,-0.041,1,logs/clutter_eval/gr00t/spoon/semantic/n8_e20_r10_20260302_064044
gr00t,spoon,semantic,10,200,10,29.5,43.0,+13.5,7.6,6.3,6.1,20.9,4.1,22.6,0.0039,-0.023,-0.035,1,logs/clutter_eval/gr00t/spoon/semantic/n10_e20_r10_20260302_102107
gr00t,spoon,semantic,14,200,10,30.0,41.0,+11.0,8.8,6.1,3.3,18.7,1.6,20.1,0.0117,-0.014,-0.036,1,logs/clutter_eval/gr00t/spoon/semantic/n14_e20_r10_20260303_220316
gr00t,spoon,semantic,18,200,10,31.0,43.5,+12.5,11.0,4.7,4.0,21.0,3.0,21.7,0.0234,0.007,-0.043,1,logs/clutter_eval/gr00t/spoon/semantic/n18_e20_r10_20260303_220316
pi0,carrot,control,0,200,10,58.5,54.5,-4.0,6.7,9.0,-11.7,3.7,-13.6,5.7,0.2305,-0.033,-0.019,0,logs/clutter_eval/pi0/carrot/DOne/control/n0_e20_r10_20260217_095346
pi0,carrot,control,4,200,10,56.0,53.0,-3.0,8.4,7.9,-10.8,4.8,-12.6,6.7,0.2422,-0.022,-0.026,0,logs/clutter_eval/pi0/carrot/DOne/control/n4_e20_r10_20260217_095346
pi0,carrot,control,8,200,10,55.0,52.5,-2.5,7.5,8.2,-10.8,5.8,-12.1,7.2,0.4531,-0.029,-0.024,0,logs/clutter_eval/pi0/carrot/control/n8_e20_r10_20260305_031635
pi0,carrot,control,10,200,10,56.0,55.0,-1.0,10.2,9.4,-10.7,8.7,-10.6,8.7,1.0000,-0.008,-0.015,0,logs/clutter_eval/pi0/carrot/control/n10_e20_r10_20260305_031635
pi0,carrot,control,14,200,10,53.5,52.0,-1.5,13.1,5.4,-13.8,10.8,-11.2,8.2,0.7852,0.020,-0.040,0,logs/clutter_eval/pi0/carrot/DOne/control/n14_e20_r10_20260217_095346
pi0,carrot,control,18,200,10,49.5,54.0,+4.5,11.7,11.5,-6.9,15.9,-5.3,14.1,0.5508,0.004,0.003,0,logs/clutter_eval/pi0/carrot/control/n18_e20_r10_20260304_121131
pi0,carrot,semantic,0,200,10,58.5,54.5,-4.0,6.7,9.0,-11.7,3.7,-13.6,5.7,0.2305,-0.033,-0.019,0,logs/clutter_eval/pi0/carrot/DOne/semantic/n0_e20_r10_20260217_095410
pi0,carrot,semantic,4,200,10,57.5,52.5,-5.0,4.9,10.6,-11.5,1.5,-14.6,4.7,0.1250,-0.042,-0.005,0,logs/clutter_eval/pi0/carrot/DOne/semantic/n4_e20_r10_20260217_095410
pi0,carrot,semantic,8,200,10,62.0,53.0,-9.0,11.6,8.2,-21.1,3.1,-18.4,0.7,0.1484,0.007,-0.024,0,logs/clutter_eval/pi0/carrot/semantic/n8_e20_r10_20260304_222004
pi0,carrot,semantic,10,200,10,61.5,53.5,-8.0,5.8,7.8,-15.0,-1.0,-17.5,1.7,0.0625,-0.038,-0.027,1,logs/clutter_eval/pi0/carrot/semantic/n10_e20_r10_20260304_222004
pi0,carrot,semantic,14,200,10,58.5,51.5,-7.0,4.7,10.6,-17.4,3.4,-16.5,2.7,0.1621,-0.043,-0.006,0,logs/clutter_eval/pi0/carrot/semantic/n14_e20_r10_20260305_004341
pi0,carrot,semantic,18,200,10,56.0,47.0,-9.0,5.7,9.5,-17.7,-0.3,-18.5,0.8,0.0508,-0.039,-0.015,1,logs/clutter_eval/pi0/carrot/semantic/n18_e20_r10_20260305_004341
pi0,spoon,control,0,200,10,82.0,85.0,+3.0,6.7,8.5,-5.6,11.6,-4.3,10.3,0.5156,-0.020,0.007,0,logs/clutter_eval/pi0/spoon/spoon/control/n0_e20_r10_20260303_214526
pi0,spoon,control,4,200,10,70.5,78.0,+7.5,9.0,10.3,-0.8,15.8,-1.1,15.9,0.1016,-0.012,0.012,0,logs/clutter_eval/pi0/spoon/spoon/control/n4_e20_r10_20260303_214526
pi0,spoon,control,8,200,10,62.5,74.0,+11.5,10.6,9.7,1.7,21.3,2.4,20.4,0.0430,-0.002,-0.002,1,logs/clutter_eval/pi0/spoon/spoon/control/n8_e20_r10_20260303_214526
pi0,spoon,control,10,200,10,60.0,78.5,+18.5,9.1,6.7,10.2,26.8,9.5,27.1,0.0039,-0.016,-0.025,1,logs/clutter_eval/pi0/spoon/spoon/control/n10_e20_r10_20260303_214526
pi0,spoon,control,14,200,10,64.5,77.5,+13.0,9.6,8.2,1.7,24.3,4.1,21.6,0.0391,-0.011,-0.012,1,logs/clutter_eval/pi0/spoon/spoon/control/n14_e20_r10_20260306_034612
pi0,spoon,control,18,200,10,57.5,70.5,+13.0,7.5,11.7,2.0,24.0,3.6,22.1,0.0234,-0.028,0.016,1,logs/clutter_eval/pi0/spoon/spoon/control/n18_e20_r10_20260303_214526
pi0,spoon,semantic,0,200,10,82.0,85.0,+3.0,6.7,8.5,-5.6,11.6,-4.3,10.3,0.5156,-0.020,0.007,0,logs/clutter_eval/pi0/spoon/spoon/semantic/n0_e20_r10_20260304_111805
pi0,spoon,semantic,4,200,10,59.0,73.0,+14.0,9.7,7.5,5.4,22.6,4.7,23.0,0.0078,-0.012,-0.022,1,logs/clutter_eval/pi0/spoon/spoon/semantic/n4_e20_r10_20260304_111805
pi0,spoon,semantic,8,200,10,51.0,73.5,+22.5,15.2,8.2,10.7,34.3,13.0,31.4,0.0078,0.044,-0.017,1,logs/clutter_eval/pi0/spoon/spoon/semantic/n8_e20_r10_20260304_111805
pi0,spoon,semantic,10,200,10,49.0,72.5,+23.5,12.2,6.8,12.8,34.2,14.0,32.4,0.0039,0.010,-0.028,1,logs/clutter_eval/pi0/spoon/spoon/semantic/n10_e20_r10_20260304_111805
pi0,spoon,semantic,14,200,10,52.5,75.5,+23.0,8.2,6.9,14.7,31.3,13.7,31.8,0.0039,-0.024,-0.026,1,logs/clutter_eval/pi0/spoon/spoon/semantic/n14_e20_r10_20260304_111805
pi0,spoon,semantic,18,200,10,43.0,77.5,+34.5,16.0,6.3,20.8,48.2,25.2,43.0,0.0020,0.056,-0.028,1,logs/clutter_eval/pi0/spoon/spoon/semantic/n18_e20_r10_20260304_111805
