model,task,category,count,seed,baseline_rate,cgvd_rate,delta
gr00t,carrot,control,0,0,25.0,35.0,+10.0
gr00t,carrot,control,0,1,35.0,30.0,-5.0
gr00t,carrot,control,0,2,30.0,20.0,-10.0
gr00t,carrot,control,0,3,30.0,25.0,-5.0
gr00t,carrot,control,0,4,30.0,30.0,+0.0
gr00t,carrot,control,0,5,35.0,25.0,-10.0
gr00t,carrot,control,0,6,35.0,25.0,-10.0
gr00t,carrot,control,0,7,45.0,20.0,-25.0
gr00t,carrot,control,0,8,40.0,40.0,+0.0
gr00t,carrot,control,0,9,15.0,30.0,+15.0
gr00t,carrot,control,4,0,25.0,40.0,+15.0
gr00t,carrot,control,4,1,25.0,30.0,+5.0
gr00t,carrot,control,4,2,30.0,20.0,-10.0
gr00t,carrot,control,4,3,35.0,35.0,+0.0
gr00t,carrot,control,4,4,40.0,35.0,-5.0
gr00t,carrot,control,4,5,45.0,30.0,-15.0
gr00t,carrot,control,4,6,35.0,45.0,+10.0
gr00t,carrot,control,4,7,45.0,20.0,-25.0
gr00t,carrot,control,4,8,45.0,20.0,-25.0
gr00t,carrot,control,4,9,40.0,25.0,-15.0
gr00t,carrot,control,8,0,35.0,10.0,-25.0
gr00t,carrot,control,8,1,45.0,20.0,-25.0
gr00t,carrot,control,8,2,20.0,25.0,+5.0
gr00t,carrot,control,8,3,45.0,30.0,-15.0
gr00t,carrot,control,8,4,55.0,35.0,-20.0
gr00t,carrot,control,8,5,45.0,30.0,-15.0
gr00t,carrot,control,8,6,40.0,35.0,-5.0
gr00t,carrot,control,8,7,50.0,35.0,-15.0
gr00t,carrot,control,8,8,60.0,40.0,-20.0
gr00t,carrot,control,8,9,35.0,25.0,-10.0
gr00t,carrot,control,10,0,35.0,0.0,-35.0
gr00t,carrot,control,10,1,40.0,25.0,-15.0
gr00t,carrot,control,10,2,30.0,25.0,-5.0
gr00t,carrot,control,10,3,45.0,30.0,-15.0
gr00t,carrot,control,10,4,40.0,30.0,-10.0
gr00t,carrot,control,10,5,60.0,45.0,-15.0
gr00t,carrot,control,10,6,30.0,30.0,+0.0
gr00t,carrot,control,10,7,35.0,35.0,+0.0
gr00t,carrot,control,10,8,40.0,30.0,-10.0
gr00t,carrot,control,10,9,45.0,35.0,-10.0
gr00t,carrot,control,14,0,35.0,45.0,+10.0
gr00t,carrot,control,14,1,25.0,15.0,-10.0
gr00t,carrot,control,14,2,45.0,35.0,-10.0
gr00t,carrot,control,14,3,35.0,35.0,+0.0
gr00t,carrot,control,14,4,45.0,35.0,-10.0
gr00t,carrot,control,14,5,45.0,30.0,-15.0
gr00t,carrot,control,14,6,35.0,50.0,+15.0
gr00t,carrot,control,14,7,45.0,35.0,-10.0
gr00t,carrot,control,14,8,35.0,45.0,+10.0
gr00t,carrot,control,14,9,45.0,50.0,+5.0
gr00t,carrot,control,18,0,40.0,40.0,+0.0
gr00t,carrot,control,18,1,50.0,45.0,-5.0
gr00t,carrot,control,18,2,25.0,45.0,+20.0
gr00t,carrot,control,18,3,35.0,45.0,+10.0
gr00t,carrot,control,18,4,40.0,35.0,-5.0
gr00t,carrot,control,18,5,55.0,50.0,-5.0
gr00t,carrot,control,18,6,25.0,40.0,+15.0
gr00t,carrot,control,18,7,40.0,45.0,+5.0
gr00t,carrot,control,18,8,35.0,35.0,+0.0
gr00t,carrot,control,18,9,35.0,30.0,-5.0
gr00t,carrot,semantic,0,0,25.0,35.0,+10.0
gr00t,carrot,semantic,0,1,35.0,35.0,+0.0
gr00t,carrot,semantic,0,2,30.0,25.0,-5.0
gr00t,carrot,semantic,0,3,30.0,20.0,-10.0
gr00t,carrot,semantic,0,4,30.0,25.0,-5.0
gr00t,carrot,semantic,0,5,35.0,30.0,-5.0
gr00t,carrot,semantic,0,6,35.0,20.0,-15.0
gr00t,carrot,semantic,0,7,45.0,20.0,-25.0
gr00t,carrot,semantic,0,8,40.0,40.0,+0.0
gr00t,carrot,semantic,0,9,15.0,30.0,+15.0
gr00t,carrot,semantic,4,0,30.0,20.0,-10.0
gr00t,carrot,semantic,4,1,45.0,40.0,-5.0
gr00t,carrot,semantic,4,2,45.0,35.0,-10.0
gr00t,carrot,semantic,4,3,40.0,30.0,-10.0
gr00t,carrot,semantic,4,4,45.0,35.0,-10.0
gr00t,carrot,semantic,4,5,30.0,25.0,-5.0
gr00t,carrot,semantic,4,6,45.0,35.0,-10.0
gr00t,carrot,semantic,4,7,60.0,45.0,-15.0
gr00t,carrot,semantic,4,8,30.0,25.0,-5.0
gr00t,carrot,semantic,4,9,45.0,30.0,-15.0
gr00t,carrot,semantic,8,0,50.0,25.0,-25.0
gr00t,carrot,semantic,8,1,45.0,35.0,-10.0
gr00t,carrot,semantic,8,2,30.0,25.0,-5.0
gr00t,carrot,semantic,8,3,45.0,30.0,-15.0
gr00t,carrot,semantic,8,4,35.0,30.0,-5.0
gr00t,carrot,semantic,8,5,30.0,30.0,+0.0
gr00t,carrot,semantic,8,6,45.0,40.0,-5.0
gr00t,carrot,semantic,8,7,50.0,30.0,-20.0
gr00t,carrot,semantic,8,8,50.0,35.0,-15.0
gr00t,carrot,semantic,8,9,45.0,30.0,-15.0
gr00t,carrot,semantic,10,0,30.0,25.0,-5.0
gr00t,carrot,semantic,10,1,30.0,35.0,+5.0
gr00t,carrot,semantic,10,2,40.0,35.0,-5.0
gr00t,carrot,semantic,10,3,50.0,30.0,-20.0
gr00t,carrot,semantic,10,4,50.0,40.0,-10.0
gr00t,carrot,semantic,10,5,50.0,30.0,-20.0
gr00t,carrot,semantic,10,6,40.0,25.0,-15.0
gr00t,carrot,semantic,10,7,45.0,15.0,-30.0
gr00t,carrot,semantic,10,8,45.0,25.0,-20.0
gr00t,carrot,semantic,10,9,45.0,30.0,-15.0
gr00t,carrot,semantic,14,0,30.0,25.0,-5.0
gr00t,carrot,semantic,14,1,20.0,25.0,+5.0
gr00t,carrot,semantic,14,2,40.0,30.0,-10.0
gr00t,carrot,semantic,14,3,25.0,15.0,-10.0
gr00t,carrot,semantic,14,4,35.0,25.0,-10.0
gr00t,carrot,semantic,14,5,35.0,25.0,-10.0
gr00t,carrot,semantic,14,6,40.0,30.0,-10.0
gr00t,carrot,semantic,14,7,30.0,40.0,+10.0
gr00t,carrot,semantic,14,8,30.0,30.0,+0.0
gr00t,carrot,semantic,14,9,35.0,30.0,-5.0
gr00t,carrot,semantic,18,0,35.0,30.0,-5.0
gr00t,carrot,semantic,18,1,35.0,15.0,-20.0
gr00t,carrot,semantic,18,2,35.0,25.0,-10.0
gr00t,carrot,semantic,18,3,30.0,25.0,-5.0
gr00t,carrot,semantic,18,4,15.0,20.0,+5.0
gr00t,carrot,semantic,18,5,30.0,30.0,+0.0
gr00t,carrot,semantic,18,6,30.0,25.0,-5.0
gr00t,carrot,semantic,18,7,40.0,35.0,-5.0
gr00t,carrot,semantic,18,8,35.0,50.0,+15.0
gr00t,carrot,semantic,18,9,35.0,30.0,-5.0
gr00t,spoon,control,0,0,50.0,55.0,+5.0
gr00t,spoon,control,0,1,55.0,40.0,-15.0
gr00t,spoon,control,0,2,50.0,50.0,+0.0
gr00t,spoon,control,0,3,30.0,50.0,+20.0
gr00t,spoon,control,0,4,45.0,60.0,+15.0
gr00t,spoon,control,0,5,60.0,50.0,-10.0
gr00t,spoon,control,0,6,50.0,50.0,+0.0
gr00t,spoon,control,0,7,55.0,45.0,-10.0
gr00t,spoon,control,0,8,50.0,55.0,+5.0
gr00t,spoon,control,0,9,45.0,55.0,+10.0
gr00t,spoon,control,4,0,65.0,45.0,-20.0
gr00t,spoon,control,4,1,45.0,40.0,-5.0
gr00t,spoon,control,4,2,55.0,45.0,-10.0
gr00t,spoon,control,4,3,40.0,40.0,+0.0
gr00t,spoon,control,4,4,40.0,50.0,+10.0
gr00t,spoon,control,4,5,50.0,50.0,+0.0
gr00t,spoon,control,4,6,45.0,55.0,+10.0
gr00t,spoon,control,4,7,50.0,50.0,+0.0
gr00t,spoon,control,4,8,55.0,60.0,+5.0
gr00t,spoon,control,4,9,35.0,45.0,+10.0
gr00t,spoon,control,8,0,60.0,30.0,-30.0
gr00t,spoon,control,8,1,45.0,45.0,+0.0
gr00t,spoon,control,8,2,45.0,55.0,+10.0
gr00t,spoon,control,8,3,50.0,45.0,-5.0
gr00t,spoon,control,8,4,40.0,45.0,+5.0
gr00t,spoon,control,8,5,30.0,45.0,+15.0
gr00t,spoon,control,8,6,30.0,45.0,+15.0
gr00t,spoon,control,8,7,50.0,35.0,-15.0
gr00t,spoon,control,8,8,40.0,60.0,+20.0
gr00t,spoon,control,8,9,50.0,30.0,-20.0
gr00t,spoon,control,10,0,55.0,45.0,-10.0
gr00t,spoon,control,10,1,35.0,55.0,+20.0
gr00t,spoon,control,10,2,40.0,50.0,+10.0
gr00t,spoon,control,10,3,35.0,50.0,+15.0
gr00t,spoon,control,10,4,45.0,40.0,-5.0
gr00t,spoon,control,10,5,30.0,55.0,+25.0
gr00t,spoon,control,10,6,40.0,40.0,+0.0
gr00t,spoon,control,10,7,35.0,35.0,+0.0
gr00t,spoon,control,10,8,30.0,45.0,+15.0
gr00t,spoon,control,10,9,65.0,55.0,-10.0
gr00t,spoon,control,14,0,45.0,30.0,-15.0
gr00t,spoon,control,14,1,15.0,40.0,+25.0
gr00t,spoon,control,14,2,45.0,50.0,+5.0
gr00t,spoon,control,14,3,30.0,55.0,+25.0
gr00t,spoon,control,14,4,45.0,45.0,+0.0
gr00t,spoon,control,14,5,20.0,45.0,+25.0
gr00t,spoon,control,14,6,40.0,40.0,+0.0
gr00t,spoon,control,14,7,35.0,35.0,+0.0
gr00t,spoon,control,14,8,35.0,40.0,+5.0
gr00t,spoon,control,14,9,20.0,40.0,+20.0
gr00t,spoon,control,18,0,25.0,30.0,+5.0
gr00t,spoon,control,18,1,20.0,40.0,+20.0
gr00t,spoon,control,18,2,25.0,45.0,+20.0
gr00t,spoon,control,18,3,25.0,45.0,+20.0
gr00t,spoon,control,18,4,35.0,45.0,+10.0
gr00t,spoon,control,18,5,35.0,35.0,+0.0
gr00t,spoon,control,18,6,30.0,60.0,+30.0
gr00t,spoon,control,18,7,45.0,45.0,+0.0
gr00t,spoon,control,18,8,25.0,50.0,+25.0
gr00t,spoon,control,18,9,15.0,55.0,+40.0
gr00t,spoon,semantic,0,0,50.0,55.0,+5.0
gr00t,spoon,semantic,0,1,55.0,40.0,-15.0
gr00t,spoon,semantic,0,2,50.0,50.0,+0.0
gr00t,spoon,semantic,0,3,30.0,50.0,+20.0
gr00t,spoon,semantic,0,4,45.0,60.0,+15.0
gr00t,spoon,semantic,0,5,60.0,50.0,-10.0
gr00t,spoon,semantic,0,6,50.0,50.0,+0.0
gr00t,spoon,semantic,0,7,55.0,45.0,-10.0
gr00t,spoon,semantic,0,8,50.0,55.0,+5.0
gr00t,spoon,semantic,0,9,45.0,55.0,+10.0
gr00t,spoon,semantic,4,0,40.0,40.0,+0.0
gr00t,spoon,semantic,4,1,50.0,60.0,+10.0
gr00t,spoon,semantic,4,2,60.0,50.0,-10.0
gr00t,spoon,semantic,4,3,50.0,45.0,-5.0
gr00t,spoon,semantic,4,4,50.0,45.0,-5.0
gr00t,spoon,semantic,4,5,45.0,50.0,+5.0
gr00t,spoon,semantic,4,6,65.0,45.0,-20.0
gr00t,spoon,semantic,4,7,40.0,40.0,+0.0
gr00t,spoon,semantic,4,8,45.0,40.0,-5.0
gr00t,spoon,semantic,4,9,30.0,45.0,+15.0
gr00t,spoon,semantic,8,0,25.0,45.0,+20.0
gr00t,spoon,semantic,8,1,20.0,45.0,+25.0
gr00t,spoon,semantic,8,2,30.0,40.0,+10.0
gr00t,spoon,semantic,8,3,35.0,45.0,+10.0
gr00t,spoon,semantic,8,4,40.0,40.0,+0.0
gr00t,spoon,semantic,8,5,35.0,40.0,+5.0
gr00t,spoon,semantic,8,6,30.0,35.0,+5.0
gr00t,spoon,semantic,8,7,20.0,35.0,+15.0
gr00t,spoon,semantic,8,8,25.0,50.0,+25.0
gr00t,spoon,semantic,8,9,25.0,35.0,+10.0
gr00t,spoon,semantic,10,0,20.0,40.0,+20.0
gr00t,spoon,semantic,10,1,30.0,50.0,+20.0
gr00t,spoon,semantic,10,2,15.0,50.0,+35.0
gr00t,spoon,semantic,10,3,30.0,50.0,+20.0
gr00t,spoon,semantic,10,4,40.0,45.0,+5.0
gr00t,spoon,semantic,10,5,30.0,35.0,+5.0
gr00t,spoon,semantic,10,6,35.0,45.0,+10.0
gr00t,spoon,semantic,10,7,35.0,45.0,+10.0
gr00t,spoon,semantic,10,8,35.0,35.0,+0.0
gr00t,spoon,semantic,10,9,25.0,35.0,+10.0
gr00t,spoon,semantic,14,0,30.0,40.0,+10.0
gr00t,spoon,semantic,14,1,25.0,45.0,+20.0
gr00t,spoon,semantic,14,2,20.0,45.0,+25.0
gr00t,spoon,semantic,14,3,30.0,35.0,+5.0
gr00t,spoon,semantic,14,4,50.0,45.0,-5.0
gr00t,spoon,semantic,14,5,35.0,45.0,+10.0
gr00t,spoon,semantic,14,6,35.0,40.0,+5.0
gr00t,spoon,semantic,14,7,25.0,30.0,+5.0
gr00t,spoon,semantic,14,8,30.0,35.0,+5.0
gr00t,spoon,semantic,14,9,20.0,50.0,+30.0
gr00t,spoon,semantic,18,0,30.0,50.0,+20.0
gr00t,spoon,semantic,18,1,10.0,35.0,+25.0
gr00t,spoon,semantic,18,2,20.0,45.0,+25.0
gr00t,spoon,semantic,18,3,40.0,45.0,+5.0
gr00t,spoon,semantic,18,4,25.0,50.0,+25.0
gr00t,spoon,semantic,18,5,25.0,45.0,+20.0
gr00t,spoon,semantic,18,6,40.0,40.0,+0.0
gr00t,spoon,semantic,18,7,35.0,45.0,+10.0
